Package,Score,RStudio,Days up,Total dl,Median dl,Mean dl
multinma,-0.02,0,344,5220,13,15
ActCR,-0.02,0,349,5300,14,15
andurinha,-0.02,0,300,4512,14,15
stlnpp,-0.02,0,475,7352,15,15
healthyR.ts,-0.02,0,138,1980,13,14
nosoi,-0.03,0,512,7956,14,16
mixAR,-0.03,0,352,5341,14,15
ICBioMark,-0.03,0,112,1586,12,14
rminizinc,-0.03,0,177,2574,14,14
geneExpressionFromGEO,-0.03,0,205,3007,13,15
cxr,-0.03,0,54,736,11,13
SplitGLM,-0.03,0,120,1705,13,14
IPV,-0.03,0,485,7503,15,15
RPscoring,-0.03,0,349,5288,16,15
crossmap,-0.03,0,272,4056,13,15
datanugget,-0.03,0,502,7779,15,15
plumberDeploy,-0.03,0,79,1096,13,14
biokNN,-0.03,0,48,650,13,13
IETD,-0.03,0,456,7017,15,15
TensorComplete,-0.03,0,29,385,9,13
coca,-0.03,0,440,6753,14,15
statgenGxE,-0.03,0,251,3719,14,15
PDE,-0.03,0,223,3280,13,15
speakr,-0.03,0,135,1927,13,14
soundcorrs,-0.03,0,504,7797,14,15
ccoptimalmatch,-0.03,0,49,663,12,13
card,-0.03,0,279,4158,14,15
hermiter,-0.03,0,272,4047,13,15
BioInsight,-0.03,0,296,4426,14,15
mazing,-0.03,0,7,94,7,12
briKmeans,-0.03,0,114,1610,14,14
mdgc,-0.03,0,112,1580,13,14
elisr,-0.03,0,34,453,9,13
workloopR,-0.03,0,34,453,11,13
TraceAssist,-0.03,0,30,398,10,13
ForestDisc,-0.03,0,447,6855,15,15
bmabasket,-0.03,0,145,2075,14,14
rbioapi,-0.03,0,40,536,11,13
echelon,-0.03,0,517,8000,15,15
altadata,-0.03,0,184,2670,13,14
childdevdata,-0.03,0,55,747,12,13
LA,-0.03,0,55,747,10,13
extRatum,-0.03,0,173,2500,14,14
bayesmove,-0.03,0,236,3475,13,15
torchaudio,-0.03,0,142,2028,14,14
psp,-0.03,0,2,33,8,11
RRMLRfMC,-0.03,0,2,33,6,11
tvgarch,-0.03,0,124,1757,13,14
friends,-0.03,0,279,4149,14,15
IIVpredictor,-0.03,0,22,289,9,13
gasper,-0.03,0,310,4637,13,15
mobirep,-0.03,0,50,675,10,13
uk2us,-0.03,0,110,1546,15,14
ttt,-0.03,0,33,438,10,13
bootComb,-0.03,0,293,4364,14,15
HadamardR,-0.03,0,428,6528,15,15
AugmenterR,-0.03,0,83,1148,13,14
asymptor,-0.03,0,230,3371,14,15
geocacheR,-0.03,0,484,7431,15,15
glmmSeq,-0.03,0,90,1249,12,14
climaemet,-0.03,0,337,5056,14,15
outForest,-0.03,0,513,7903,14,15
yaps,-0.03,0,119,1676,13,14
foqat,-0.03,0,83,1146,11,14
admixr,-0.03,0,341,5117,14,15
dpcc,-0.03,0,8,106,7,12
nnspat,-0.03,0,30,396,11,13
ClusTorus,-0.04,0,119,1675,13,14
contourPlot,-0.04,0,371,5593,14,15
anscombiser,-0.04,0,241,3537,14,15
asymmetry.measures,-0.04,0,352,5288,14,15
adheRenceRX,-0.04,0,201,2916,14,14
sfaR,-0.04,0,96,1334,14,14
owd,-0.04,0,320,4775,14,15
BiasCorrector,-0.04,0,289,4284,13,15
funest,-0.04,0,457,6972,15,15
UPCM,-0.04,0,44,588,11,13
animalEKF,-0.04,0,247,3624,14,15
mapbayr,-0.04,0,40,532,12,13
dataspice,-0.04,0,217,3157,14,14
medrxivr,-0.04,0,254,3727,13,15
fractD,-0.04,0,124,1743,13,14
dbd,-0.04,0,40,531,11,13
genero,-0.04,0,457,6951,15,15
wacolors,-0.04,0,23,300,8,12
hJAM,-0.04,0,475,7240,15,15
multisite.accuracy,-0.04,0,12,156,6,12
mcbette,-0.04,0,205,2964,11,14
hrcomprisk,-0.04,0,513,7853,15,15
healthyR,-0.04,0,188,2703,13,14
RHclust,-0.04,0,34,448,11,13
itraxR,-0.04,0,100,1386,12,14
maxnodf,-0.04,0,453,6875,15,15
FielDHub,-0.04,0,21,273,8,12
mcunit,-0.04,0,461,7000,15,15
shattering,-0.04,0,257,3762,13,15
GGRidge,-0.04,0,99,1370,13,14
BeastJar,-0.04,0,239,3482,14,15
ldsep,-0.04,0,311,4603,13,15
DirStats,-0.04,0,289,4257,13,15
rapidoc,-0.04,0,124,1736,13,14
isoboost,-0.04,0,507,7735,14,15
neurocInstall,-0.04,0,484,7362,15,15
countdata,-0.04,0,133,1869,13,14
genTS,-0.04,0,476,7231,15,15
eatGADS,-0.04,0,196,2817,12,14
bsub,-0.04,0,314,4644,14,15
zalpha,-0.04,0,450,6807,14,15
mFLICA,-0.04,0,484,7354,15,15
SimEvolEnzCons,-0.04,0,8,105,5,12
gfpop,-0.04,0,196,2813,13,14
fdaoutlier,-0.05,0,195,2797,13,14
CTP,-0.05,0,209,3009,13,14
osmgeosample,-0.05,0,122,1700,13,14
bmscstan,-0.05,0,275,4017,13,15
SurviMChd,-0.05,0,78,1059,13,13
Ravages,-0.05,0,210,3017,12,14
mappoly,-0.05,0,242,3506,13,14
GFDsurv,-0.05,0,50,664,11,13
NetSci,-0.05,0,124,1726,12,14
BayesianLaterality,-0.05,0,260,3782,13,14
avocado,-0.05,0,173,2455,14,14
NHSDataDictionaRy,-0.05,0,135,1888,12,14
AdhereRViz,-0.05,0,389,5802,13,15
grabsampling,-0.05,0,462,6965,14,15
incase,-0.05,0,267,3888,13,15
spsComps,-0.05,0,104,1432,12,14
addScales,-0.05,0,399,5955,13,15
Recocrop,-0.05,0,36,471,11,13
cmstatr,-0.05,0,331,4880,14,15
IPLGP,-0.05,0,112,1547,13,14
piwikproR,-0.05,0,1,21,10,10
pcoxtime,-0.05,0,114,1576,13,14
L1mstate,-0.05,0,475,7161,15,15
rcolors,-0.05,0,47,621,11,13
cmcR,-0.05,0,175,2480,13,14
hypoRF,-0.05,0,33,430,12,13
rhosa,-0.05,0,303,4439,14,15
MolgenisArmadillo,-0.05,0,125,1736,13,14
fsMTS,-0.05,0,441,6613,14,15
GPL2025,-0.05,0,465,6996,15,15
multifear,-0.05,0,64,857,11,13
rtables,-0.05,0,138,1926,13,14
anovir,-0.05,0,228,3278,14,14
prettifyAddins,-0.05,0,253,3660,13,14
hse,-0.05,0,191,2716,13,14
cdcatR,-0.05,0,361,5338,13,15
hystReet,-0.05,0,434,6491,14,15
statswalesr,-0.05,0,195,2775,13,14
FMM,-0.05,0,138,1924,13,14
bayescopulareg,-0.05,0,404,6012,14,15
mgss,-0.05,0,152,2130,12,14
usa,-0.05,0,472,7091,14,15
epocakir,-0.05,0,0,10,10,10
hillshader,-0.05,0,0,10,10,10
polyMatrix,-0.05,0,510,7698,14,15
KOBT,-0.05,0,475,7137,15,15
simpleMH,-0.06,0,37,482,10,13
quarto,-0.06,0,120,1656,13,14
FABInference,-0.06,0,517,7798,15,15
detectR,-0.06,0,121,1670,12,14
uni.survival.tree,-0.06,0,112,1539,13,14
synthesisr,-0.06,0,371,5477,13,15
MHMM,-0.06,0,446,6659,14,15
cuperdec,-0.06,0,63,839,12,13
lidaRtRee,-0.06,0,60,797,11,13
POSetR,-0.06,0,114,1566,13,14
fitmix,-0.06,0,51,672,10,13
nntrf,-0.06,0,370,5453,14,15
seagull,-0.06,0,507,7620,13,15
lchemix,-0.06,0,467,6982,14,15
NFLSimulatoR,-0.06,0,198,2806,13,14
tsibbletalk,-0.06,0,250,3593,14,14
DescriptiveWH,-0.06,0,85,1147,13,13
gwpcormapper,-0.06,0,64,851,11,13
krippendorffsalpha,-0.06,0,370,5444,14,15
batata,-0.06,0,365,5365,13,15
DIZutils,-0.06,0,371,5458,13,15
singcar,-0.06,0,232,3314,13,14
sdmApp,-0.06,0,138,1911,11,14
covid19france,-0.06,0,421,6241,14,15
trainR,-0.06,0,140,1940,13,14
mind,-0.06,0,19,242,10,12
gfonts,-0.06,0,396,5842,13,15
mfaces,-0.06,0,103,1401,13,13
SEAGLE,-0.06,0,2,32,6,11
GBcurves,-0.06,0,152,2113,13,14
RCT,-0.06,0,432,6401,14,15
safedata,-0.06,0,372,5460,14,15
netcontrol,-0.06,0,447,6637,14,15
rwa,-0.06,0,197,2780,13,14
ClaimsProblems,-0.06,0,63,834,12,13
rpubs,-0.06,0,490,7313,14,15
zcurve,-0.06,0,435,6442,13,15
EBCHS,-0.06,0,8,103,7,11
mpspline2,-0.06,0,331,4816,14,15
overviewR,-0.06,0,344,5017,13,15
listdown,-0.06,0,340,4955,13,15
centrifugeR,-0.06,0,507,7575,14,15
Ghost,-0.06,0,441,6530,14,15
levitate,-0.06,0,15,190,9,12
RBNZ,-0.07,0,425,6272,14,15
forplo,-0.07,0,70,929,12,13
forestecology,-0.07,0,89,1196,12,13
hhsmm,-0.07,0,9,115,7,12
mobr,-0.07,0,261,3734,13,14
fbst,-0.07,0,370,5405,12,15
bayefdr,-0.07,0,314,4539,14,14
starwarsdb,-0.07,0,224,3171,13,14
gen3sis,-0.07,0,334,4843,14,14
covidprobability,-0.07,0,118,1606,13,13
sapevom,-0.07,0,184,2570,15,14
metaprotr,-0.07,0,124,1692,12,14
drawsample,-0.07,0,189,2643,12,14
EvidenceSynthesis,-0.07,0,202,2836,13,14
DICOMread,-0.07,0,281,4025,13,14
citation,-0.07,0,344,4989,13,14
splitSelect,-0.07,0,458,6763,14,15
rasterDT,-0.07,0,462,6824,14,15
RFCCA,-0.07,0,187,2611,13,14
FER,-0.07,0,110,1489,13,13
moodleR,-0.07,0,50,650,11,13
GNRS,-0.07,0,407,5959,11,15
blatent,-0.07,0,183,2550,13,14
eirm,-0.07,0,225,3174,13,14
IncomPair,-0.07,0,461,6800,14,15
RobMixReg,-0.07,0,441,6485,13,15
covid19jp,-0.07,0,151,2079,14,14
POFIBGE,-0.07,0,175,2430,12,14
CoxICPen,-0.07,0,112,1515,14,13
HDiR,-0.07,0,184,2562,13,14
dadjokeapi,-0.07,0,100,1344,13,13
graphhopper,-0.07,0,198,2768,13,14
MultIS,-0.07,0,14,176,9,12
RABR,-0.07,0,14,176,8,12
nombre,-0.07,0,380,5526,13,15
doebioresearch,-0.07,0,336,4847,13,14
PandemicLP,-0.07,0,191,2661,12,14
hmclearn,-0.07,0,349,5046,14,14
signed.backbones,-0.07,0,8,102,6,11
LassoNet,-0.07,0,507,7505,14,15
cif,-0.07,0,68,894,11,13
shinyPredict,-0.07,0,132,1799,13,14
sgstar,-0.07,0,141,1928,13,14
czechrates,-0.07,0,371,5380,13,14
lookout,-0.07,0,117,1582,12,13
puls,-0.07,0,189,2628,12,14
shinypanel,-0.07,0,236,3326,13,14
magmaR,-0.07,0,41,526,10,13
BWGS,-0.07,0,314,4503,13,14
TestGardener,-0.08,0,51,660,10,13
contingency,-0.08,0,131,1781,13,13
valhallr,-0.08,0,92,1226,13,13
FamilyRank,-0.08,0,124,1680,13,13
varTestnlme,-0.08,0,516,7626,14,15
fabricerin,-0.08,0,312,4467,13,14
iGraphMatch,-0.08,0,135,1837,13,14
causalCmprsk,-0.08,0,218,3052,13,14
sitsfeats,-0.08,0,5,66,7,11
spotoroo,-0.08,0,79,1043,12,13
brokenstick,-0.08,0,219,3065,13,14
ADtools,-0.08,0,212,2961,14,14
protti,-0.08,0,47,605,11,13
rplum,-0.08,0,401,5826,13,14
SymbolicDeterminants,-0.08,0,212,2960,13,14
multibridge,-0.08,0,135,1835,12,13
paleopop,-0.08,0,48,618,12,13
OpenRepGrid.ic,-0.08,0,314,4489,13,14
rcol,-0.08,0,124,1676,13,13
tramnet,-0.08,0,446,6517,13,15
ksharp,-0.08,0,500,7359,14,15
coder,-0.08,0,142,1934,14,14
ciftiTools,-0.08,0,201,2793,13,14
SOMEnv,-0.08,0,135,1832,13,13
gghilbertstrings,-0.08,0,86,1138,11,13
SIPDIBGE,-0.08,0,173,2382,13,14
HDBRR,-0.08,0,50,644,10,13
IDSL.IPA,-0.08,0,12,150,8,12
doc2concrete,-0.08,0,355,5106,12,14
QPmin,-0.08,0,55,711,12,13
BSW,-0.08,0,441,6428,13,15
StratifiedSampling,-0.08,0,134,1816,13,13
galvanizer,-0.08,0,128,1730,13,13
sovereign,-0.08,0,68,888,12,13
DSMolgenisArmadillo,-0.08,0,203,2819,13,14
caRecall,-0.08,0,113,1516,14,13
jsonStrings,-0.08,0,15,187,6,12
ShapleyValue,-0.08,0,15,187,9,12
blaster,-0.08,0,119,1601,12,13
r2symbols,-0.08,0,273,3859,13,14
ER,-0.08,0,296,4205,13,14
gpbStat,-0.08,0,203,2817,12,14
geysertimes,-0.08,0,142,1929,12,13
statgenHTP,-0.08,0,96,1275,12,13
VUROCS,-0.08,0,428,6217,14,14
SLBDD,-0.08,0,113,1514,13,13
IDSA,-0.08,0,132,1784,13,13
nortsTest,-0.08,0,317,4517,13,14
htmldf,-0.08,0,257,3614,13,14
simpleMLP,-0.08,0,118,1584,13,13
scqe,-0.08,0,26,326,9,12
ExactMultinom,-0.08,0,278,3927,13,14
autoCovariateSelection,-0.08,0,177,2432,13,14
serpstatr,-0.08,0,513,7529,14,15
smmR,-0.08,0,97,1287,12,13
BayesMRA,-0.08,0,295,4180,13,14
firebase,-0.08,0,436,6331,13,14
bmggum,-0.08,0,61,790,12,13
ggshadow,-0.08,0,138,1867,13,13
opentimsr,-0.08,0,181,2488,12,14
combinedevents,-0.08,0,259,3638,13,14
complexNet,-0.08,0,70,912,11,13
whSample,-0.08,0,285,4026,13,14
ollggamma,-0.08,0,475,6926,14,15
ts.extend,-0.08,0,224,3116,13,14
depigner,-0.08,0,348,4974,13,14
cenROC,-0.08,0,436,6320,13,14
RTIGER,-0.08,0,43,547,9,12
mlsbm,-0.08,0,122,1636,12,13
BSBT,-0.09,0,212,2937,13,14
troopdata,-0.09,0,99,1312,12,13
eff2,-0.09,0,19,236,7,12
experDesign,-0.09,0,274,3854,13,14
contactdata,-0.09,0,259,3630,13,14
ROCket,-0.09,0,118,1578,13,13
gfilogisreg,-0.09,0,134,1805,13,13
parallelPlot,-0.09,0,142,1919,13,13
DOVE,-0.09,0,93,1227,11,13
cragg,-0.09,0,152,2062,13,13
scINSIGHT,-0.09,0,37,467,9,12
ccboost,-0.09,0,135,1817,13,13
Eunomia,-0.09,0,217,3004,13,14
RVCompare,-0.09,0,23,286,8,12
SDAResources,-0.09,0,23,286,7,12
collin,-0.09,0,114,1519,13,13
CauchyCP,-0.09,0,152,2059,13,13
gfilinreg,-0.09,0,187,2563,12,14
rainette,-0.09,0,441,6374,13,14
distribglm,-0.09,0,55,705,11,13
ftrCOOL,-0.09,0,282,3963,13,14
EPX,-0.09,0,341,4847,13,14
con2lki,-0.09,0,131,1757,13,13
IGST,-0.09,0,495,7202,14,15
riceidconverter,-0.09,0,517,7540,13,15
factiv,-0.09,0,19,235,8,12
excelstrippr,-0.09,0,155,2098,13,13
simplecolors,-0.09,0,494,7182,14,15
autoTS,-0.09,0,372,5311,13,14
polyqtlR,-0.09,0,175,2385,12,14
fairml,-0.09,0,307,4330,13,14
wordpressr,-0.09,0,253,3525,13,14
nfl4th,-0.09,0,84,1097,12,13
tinyscholar,-0.09,0,280,3923,13,14
blapsr,-0.09,0,331,4685,13,14
places,-0.09,0,62,797,11,13
ptspotter,-0.09,0,49,623,11,12
dracor,-0.09,0,314,4428,13,14
eicm,-0.09,0,440,6337,14,14
celltrackR,-0.09,0,435,6260,13,14
epigraphdb,-0.09,0,287,4023,13,14
PoolTestR,-0.09,0,121,1610,12,13
NMADiagT,-0.09,0,486,7038,13,14
scipub,-0.09,0,387,5524,13,14
clinspacy,-0.09,0,81,1054,12,13
iconr,-0.09,0,113,1497,13,13
bsem,-0.09,0,299,4198,13,14
iriR,-0.09,0,212,2914,13,14
arcpullr,-0.09,0,145,1948,13,13
finity,-0.09,0,428,6144,13,14
qch,-0.09,0,33,412,10,12
deepdive,-0.09,0,440,6321,13,14
ubms,-0.09,0,141,1889,12,13
rmoo,-0.09,0,209,2866,13,14
spatialTIME,-0.09,0,26,322,9,12
SPlit,-0.09,0,138,1846,13,13
QRIpkg,-0.09,0,286,3997,13,14
HDLSSkST,-0.09,0,309,4338,13,14
ResidentialEnergyConsumption,-0.1,0,296,4144,12,14
eList,-0.1,0,149,2001,13,13
era,-0.1,0,131,1746,13,13
USgrid,-0.1,0,502,7264,13,14
monaco,-0.1,0,226,3111,12,14
tgamtheme,-0.1,0,124,1647,13,13
r3dmol,-0.1,0,226,3110,12,14
volcano3D,-0.1,0,370,5249,12,14
NonParRolCor,-0.1,0,70,901,11,13
ConsRankClass,-0.1,0,22,271,9,12
censo2017,-0.1,0,210,2876,12,14
dtrSurv,-0.1,0,182,2471,12,14
robsel,-0.1,0,15,184,7,12
bitmexr,-0.1,0,403,5743,12,14
NADIA,-0.1,0,198,2699,13,14
IFC,-0.1,0,331,4654,13,14
siconfir,-0.1,0,50,632,10,12
image.ContourDetector,-0.1,0,317,4444,13,14
LTRCforests,-0.1,0,341,4801,12,14
hakaiApi,-0.1,0,33,410,11,12
SleepCycles,-0.1,0,187,2536,12,13
diathor,-0.1,0,195,2651,12,14
chickn,-0.1,0,209,2853,13,14
betaBayes,-0.1,0,1,20,10,10
nifti.io,-0.1,0,1,20,10,10
truthiness,-0.1,0,112,1473,13,13
bcfrailphdv,-0.1,0,191,2591,13,13
onepass,-0.1,0,132,1752,13,13
Cronbach,-0.1,0,203,2763,13,14
BayesMassBal,-0.1,0,337,4731,13,14
omsvg,-0.1,0,119,1569,12,13
bhpm,-0.1,0,434,6188,13,14
LSVAR,-0.1,0,14,171,8,11
dragracer,-0.1,0,202,2744,13,14
mikropml,-0.1,0,198,2686,12,13
EstimDiagnostics,-0.1,0,181,2442,12,13
dbWebForms,-0.1,0,132,1748,13,13
diffmatchpatch,-0.1,0,54,682,10,12
particle.swarm.optimisation,-0.1,0,19,232,10,12
icdpicr,-0.1,0,132,1747,12,13
gamma,-0.1,0,264,3642,13,14
BGmisc,-0.1,0,187,2525,13,13
LPDynR,-0.1,0,139,1844,12,13
markerpen,-0.1,0,90,1165,12,13
pspline.inference,-0.1,0,343,4805,13,14
onsr,-0.1,0,55,694,10,12
rPanglaoDB,-0.1,0,55,694,11,12
vmr,-0.1,0,113,1480,13,13
flattabler,-0.1,0,345,4832,13,14
INQC,-0.1,0,135,1786,13,13
spork,-0.1,0,468,6680,13,14
pixelpuzzle,-0.11,0,128,1687,13,13
metajam,-0.11,0,218,2964,12,14
GREMLINS,-0.11,0,196,2646,12,13
dycdtools,-0.11,0,280,3863,13,14
erratum,-0.11,0,170,2275,12,13
lazyarray,-0.11,0,350,4895,13,14
PAMmisc,-0.11,0,230,3134,12,14
shinyobjects,-0.11,0,393,5535,13,14
LavaCvxr,-0.11,0,5,64,9,11
RJcluster,-0.11,0,259,3553,12,14
cjbart,-0.11,0,15,182,7,11
starschemar,-0.11,0,306,4240,13,14
fHMM,-0.11,0,107,1392,11,13
MAGEE,-0.11,0,30,368,10,12
faviconPlease,-0.11,0,146,1933,13,13
kindisperse,-0.11,0,70,890,11,13
HeteroGGM,-0.11,0,118,1543,12,13
ATAforecasting,-0.11,0,93,1200,12,13
klic,-0.11,0,432,6111,13,14
kgrams,-0.11,0,114,1487,12,13
l1spectral,-0.11,0,96,1240,12,13
CDatanet,-0.11,0,112,1459,13,13
TBRDist,-0.11,0,343,4778,12,14
leaflet.multiopacity,-0.11,0,191,2566,13,13
spfda,-0.11,0,196,2637,14,13
phyloregion,-0.11,0,436,6164,13,14
inspector,-0.11,0,273,3748,12,14
longit,-0.11,0,55,690,11,12
poolr,-0.11,0,474,6733,14,14
voson.tcn,-0.11,0,19,230,8,12
ibawds,-0.11,0,92,1183,11,13
fishflux,-0.11,0,341,4739,13,14
circletyper,-0.11,0,140,1843,13,13
ciccr,-0.11,0,264,3610,13,14
befproj,-0.11,0,257,3508,13,14
logitr,-0.11,0,141,1856,13,13
DynareR,-0.11,0,349,4854,13,14
stableGR,-0.11,0,461,6525,13,14
MKomics,-0.11,0,476,6748,13,14
LearnClust,-0.11,0,252,3432,12,14
ebmstate,-0.11,0,294,4042,13,14
ecoCopula,-0.11,0,211,2842,12,13
binsegRcpp,-0.11,0,268,3663,13,14
findInFiles,-0.11,0,230,3114,13,13
ReviewR,-0.11,0,68,859,11,12
read.gt3x,-0.11,0,152,2007,12,13
fruclimadapt,-0.11,0,289,3967,12,14
ctsemOMX,-0.11,0,337,4670,13,14
spacey,-0.11,0,467,6605,13,14
ecap,-0.11,0,345,4787,13,14
listcompr,-0.11,0,147,1936,13,13
visa,-0.11,0,50,622,10,12
fstcore,-0.11,0,401,5615,12,14
tidyBdE,-0.11,0,62,779,10,12
geomultistar,-0.11,0,252,3427,13,14
rgnparser,-0.11,0,216,2909,12,13
tidysynth,-0.11,0,133,1740,12,13
CVEK,-0.11,0,198,2652,13,13
dmtools,-0.11,0,393,5490,13,14
triangulr,-0.12,0,254,3452,13,14
foster,-0.12,0,216,2906,12,13
neo4jshell,-0.12,0,365,5072,13,14
labourR,-0.12,0,326,4496,12,14
ClinicalUtilityRecal,-0.12,0,420,5885,13,14
r2sundials,-0.12,0,518,7355,13,14
CHOIRBM,-0.12,0,114,1476,13,13
EMSS,-0.12,0,376,5231,13,14
corrgrapher,-0.12,0,370,5142,13,14
radous,-0.12,0,216,2903,13,13
KFPCA,-0.12,0,118,1530,12,13
iNZightTS,-0.12,0,393,5479,13,14
catsim,-0.12,0,407,5686,12,14
OpenSpecy,-0.12,0,70,882,10,12
Inflect,-0.12,0,142,1859,12,13
seedreg,-0.12,0,36,440,10,12
DysPIA,-0.12,0,350,4839,13,14
ciuupi2,-0.12,0,90,1148,12,13
SoilTaxonomy,-0.12,0,104,1337,12,13
keyToEnglish,-0.12,0,265,3600,12,14
rmt,-0.12,0,15,180,8,11
pleLMA,-0.12,0,43,529,7,12
googleTagManageR,-0.12,0,273,3714,12,14
iglu,-0.12,0,343,4733,13,14
capl,-0.12,0,85,1080,12,13
rstac,-0.12,0,177,2344,12,13
DIDmultiplegt,-0.12,0,226,3037,13,13
Rwtss,-0.12,0,122,1580,13,13
chunkhooks,-0.12,0,308,4217,13,14
RTL,-0.12,0,472,6635,13,14
shinyMonacoEditor,-0.12,0,273,3708,13,14
shinyfullscreen,-0.12,0,175,2313,13,13
SeqDetect,-0.12,0,475,6678,13,14
ezr,-0.12,0,196,2608,13,13
dpseg,-0.12,0,296,4039,13,14
unusualprofile,-0.12,0,27,326,9,12
BayesProject,-0.12,0,253,3418,13,13
rBDAT,-0.12,0,111,1428,13,13
datplot,-0.12,0,97,1238,12,13
EasyDescribe,-0.12,0,97,1238,12,13
etrader,-0.12,0,195,2591,12,13
ggip,-0.12,0,257,3472,13,13
grpsel,-0.12,0,49,604,10,12
splmm,-0.12,0,261,3529,12,13
DWBmodelUN,-0.12,0,295,4017,12,14
spotidy,-0.12,0,85,1076,12,13
readrba,-0.12,0,175,2308,12,13
ProbBayes,-0.12,0,460,6440,13,14
onlineBcp,-0.12,0,149,1945,12,13
ppmSuite,-0.12,0,198,2628,12,13
MOSS,-0.12,0,141,1834,13,13
ConsReg,-0.12,0,430,5988,13,14
twangRDC,-0.12,0,99,1262,13,13
circularEV,-0.12,0,139,1806,13,13
reveneraR,-0.12,0,19,227,9,11
deepgp,-0.12,0,223,2979,13,13
autohd,-0.12,0,30,362,9,12
BVARverse,-0.12,0,260,3506,13,13
PooledCohort,-0.12,0,51,628,11,12
TwoWayFEWeights,-0.12,0,25,300,9,12
lingmatch,-0.12,0,112,1436,12,13
getable,-0.13,0,282,3820,12,13
Visualize.CRAN.Downloads,-0.13,0,445,6202,12,14
diproperm,-0.13,0,281,3805,12,13
BCT,-0.13,0,198,2624,13,13
ccid,-0.13,0,153,1996,13,13
tabulator,-0.13,0,152,1982,13,13
CancerGram,-0.13,0,202,2679,13,13
eventglm,-0.13,0,215,2861,12,13
rMIDAS,-0.13,0,253,3398,13,13
irtGUI,-0.13,0,84,1058,10,12
bmgarch,-0.13,0,265,3568,12,13
rSAFE,-0.13,0,70,873,11,12
text.alignment,-0.13,0,436,6055,13,14
dashPivottable,-0.13,0,301,4084,13,14
ExhaustiveSearch,-0.13,0,145,1882,12,13
sharpPen,-0.13,0,112,1432,12,13
fipp,-0.13,0,118,1513,12,13
igoR,-0.13,0,133,1717,13,13
HGMND,-0.13,0,51,626,10,12
cms,-0.13,0,272,3665,12,13
bigSurvSGD,-0.13,0,251,3365,13,13
CVarE,-0.13,0,90,1136,12,12
mhcnuggetsr,-0.13,0,217,2881,13,13
rticulate,-0.13,0,149,1934,13,13
vccp,-0.13,0,98,1242,13,13
textTools,-0.13,0,124,1592,13,13
CNPS,-0.13,0,15,178,10,11
ProAE,-0.13,0,107,1362,12,13
PASSED,-0.13,0,392,5395,12,14
MiRNAQCD,-0.13,0,349,4768,13,14
iNZightRegression,-0.13,0,194,2556,12,13
covid19dbcand,-0.13,0,349,4767,13,14
epinetr,-0.13,0,217,2878,12,13
drord,-0.13,0,275,3697,12,13
nhlscrape,-0.13,0,514,7187,13,14
zzlite,-0.13,0,470,6534,13,14
ssaBSS,-0.13,0,58,714,11,12
materialmodifier,-0.13,0,47,573,11,12
Rwofost,-0.13,0,446,6179,13,14
ibdsim2,-0.13,0,346,4716,13,14
sentryR,-0.13,0,447,6191,13,14
exams.mylearn,-0.13,0,380,5208,13,14
faq,-0.13,0,314,4252,13,13
socialh,-0.13,0,26,310,10,11
MultOrdRS,-0.13,0,78,973,11,12
iAR,-0.13,0,55,674,10,12
PolyHaplotyper,-0.13,0,119,1518,12,13
image.CornerDetectionHarris,-0.13,0,317,4288,12,13
tiledb,-0.13,0,348,4733,13,14
publipha,-0.13,0,518,7224,13,14
DIFshiny,-0.13,0,146,1883,12,13
sfo,-0.13,0,188,2461,12,13
rockr,-0.13,0,89,1116,12,12
DEPONS2R,-0.13,0,226,2991,12,13
RaJIVE,-0.13,0,125,1597,12,13
rearrr,-0.13,0,218,2878,12,13
superb,-0.14,0,81,1010,10,12
cepiigeodist,-0.14,0,264,3525,13,13
MAPITR,-0.14,0,265,3539,12,13
PesticideLoadIndicator,-0.14,0,83,1036,11,12
rpredictit,-0.14,0,493,6844,13,14
ceser,-0.14,0,212,2792,13,13
TRMF,-0.14,0,139,1785,12,13
parseRPDR,-0.14,0,86,1075,10,12
svyVGAM,-0.14,0,252,3353,12,13
addinsJoaoMelo,-0.14,0,361,4911,12,14
GSDA,-0.14,0,142,1825,13,13
independence,-0.14,0,289,3874,12,13
ellipticalsymmetry,-0.14,0,191,2496,12,13
RRRR,-0.14,0,446,6141,13,14
gmgm,-0.14,0,210,2759,12,13
PROsetta,-0.14,0,343,4643,12,13
packageDiff,-0.14,0,510,7078,13,14
hacksaw,-0.14,0,326,4398,13,13
fctbases,-0.14,0,198,2590,12,13
deepredeff,-0.14,0,229,3022,12,13
SMMT,-0.14,0,345,4667,13,13
farrell,-0.14,0,372,5056,12,14
matrixprofiler,-0.14,0,118,1496,12,13
visStatistics,-0.14,0,117,1482,12,13
sbo,-0.14,0,217,2850,12,13
tidylo,-0.14,0,380,5167,12,14
tidyft,-0.14,0,425,5819,12,14
schemr,-0.14,0,91,1136,12,12
stat.extend,-0.14,0,302,4046,13,13
plotmm,-0.14,0,334,4500,13,13
FeatureImpCluster,-0.14,0,387,5262,12,14
gmGeostats,-0.14,0,266,3533,12,13
htsr,-0.14,0,196,2555,12,13
upsetjs,-0.14,0,380,5160,12,14
AmpGram,-0.14,0,374,5073,13,14
scoringTools,-0.14,0,229,3013,12,13
RChest,-0.14,0,116,1466,12,13
oysteR,-0.14,0,342,4612,12,13
nomordR,-0.14,0,20,235,6,11
mifa,-0.14,0,138,1761,12,13
covid19swiss,-0.14,0,264,3502,12,13
CHNCapitalStock,-0.14,0,349,4710,13,13
